"Iron_effect_in_EXP_G_D.LogFC" "Iron_effect_in_EXP_G.LogFC" "Iron_effect_in_EXP_G_L.LogFC" "Iron_effect_in_EXP_L.LogFC" "Iron_effect_in_STAT_G_D.LogFC" "Iron_effect_in_STAT_G.LogFC" "Iron_effect_in_STAT_G_L.LogFC" "Iron_effect_in_STAT_L.LogFC" "Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH"
"Rv0048c" -0.000125586960665918 -6.29008502733942e-05 0.000126880511885075 -5.50663957947451e-05 0.299995114837399 0.284604966410311 0.463936894243547 -0.0279558396623545 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0109478627606491 0.0260317881985251 3.9888745541011e-05 0.673140857599489
"Rv0049" -0.000406338880427187 -0.000311369963979129 -0.00902083893690151 0.000739251360787102 0.299244339329211 0.910663980843713 0.128713995983416 -0.0202449518397799 0.999652421664065 0.99978373860597 0.639467771678034 0.998493520944799 0.00354446683439931 1.1996342543472e-13 0.22783264337994 0.736020399791069
"Rv0050" 8.7281816175296e-05 -0.000708538174983298 0.000102655883791391 -0.000530031654423325 0.0228862263482826 0.646617553068904 0.0919938887097869 -0.0398050050390846 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.87646036645624 1.05008242670281e-07 0.468182649824343 0.531807722919922
"Rv0051" 0.000313028152548244 -0.000157039215133264 2.03824725966291e-06 -0.000299438009256848 -0.18275900005842 0.420392383796861 -0.061235836394406 -0.0116883450871935 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0743163413690721 0.00696635999331501 0.589369538524583 0.867348825976212
"Rv0052" -4.19197008091262e-05 0.00043606474484256 0.000157052000190492 6.96950405795042e-06 0.0663180207299372 0.444870195208414 -0.0644671924989254 -0.0206303322858178 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.646379303565699 0.0393294156318659 0.684979061359953 0.788609139005595
"Rv0053" 5.39391518723568e-05 -0.000234620065249726 -1.51902263072722e-05 -0.000139281125484015 -0.197975432230917 -0.481394159319015 -0.0501505371183898 -0.0242745326670073 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.226764921660476 0.00754020685912121 0.784591370247099 0.771123287708439
"Rv0054" -0.000144289993692375 -0.000452524567684117 -9.93079959472102e-05 0.000626240365103394 0.264312159303439 -0.168499808700128 1.73848809620796 -0.00182282303706853 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0475472327579874 0.330216896600055 8.06577025609896e-43 0.99375102884922
"Rv0055" -0.000736808358409254 -0.000193610932459304 -0.00106583886359783 -0.000218251558486589 -0.0996239428876826 -0.138686212612197 1.99527344821505 0.00743021743793958 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.524002878653703 0.57306085970255 1.34457614379466e-48 0.961792773382745
"Rv0056" -0.000438890861580716 -0.00049890941849652 -0.000166185788069927 -2.93011903008818e-05 -0.0961259414401532 -0.00930961260319705 1.78764354506637 -0.00601303204468571 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.491968761336437 0.96955781310365 1.17475500768297e-49 0.96587522253443
"Rv0057" 7.22436254359804e-05 -0.000162710371709453 0.000192004248415231 -7.96651639772392e-05 -0.1415555775535 0.010117212799966 1.71424093673072 0.00184175295524015 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.246293151772239 0.970058048109387 1.58589390271773e-55 0.99375102884922
"Rv0058" -7.37880750356216e-05 -3.18438911256579e-05 3.15849267254954e-05 -0.000134040871128439 0.305082560625477 0.815677872386237 1.99884098602036 -0.0346505477128261 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.109074040932037 9.3307682460255e-05 1.46858790066083e-22 0.671044094346448
"Rv0059" -8.29380635686591e-05 0.000185626489484715 0.000136478472752984 -0.000738107758997532 0.143706299165004 0.666580273732049 0.824078074050508 -0.0301563156840565 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.488998513518366 0.0104197179279603 6.23515255597288e-05 0.722401217211777
"Rv0060" -7.85333809522891e-06 0.000250464304334864 0.000267636081177489 7.43126591065658e-05 0.670549332882426 0.631457561466715 1.07487544617572 -0.0123994529338066 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 4.35805185501231e-08 8.74239592402161e-06 5.13519966613396e-18 0.898325395485313
"Rv0061c" -0.000315611473026621 -0.000279675386646665 -0.000117713194239451 0.000133454312908301 -0.0144193413901873 -0.465800033344988 0.10673039618447 -0.00746421992369506 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.933411990476818 0.00236446119673013 0.486578112257705 0.959385643934073
"Rv0062" -1.28724171814538e-05 -0.000354106403742068 -0.00290181868766955 0.000441435790142612 -0.679769781936517 0.305742295242292 -0.129901995297253 -0.0289490710800937 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 2.94426310607298e-05 0.20882462457738 0.497088777969996 0.730317316439121
"Rv0063" -0.000175229106680328 -0.00015447700357932 -0.000319838522533963 -0.00047736580807691 -0.238054676700657 0.192912605372747 -0.3320385424256 -0.018843271645025 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.105953950651982 0.366044130264682 0.0381839851388107 0.812150419080914
"Rv0063a" 0.000141474643597056 0.000426591268475943 -8.91786673189609e-05 0.000967050869632673 0.500417440569878 0.789588158249801 -0.588734005245429 0.00453786395147739 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00243773231647423 7.78389715540939e-05 0.000345110021432203 0.992127807018673
"Rv0064" -1.05686740635551e-05 0.000379113463697535 0.000134741397320496 -0.00017189390935751 1.34799435037238 1.11189655584064 -0.327524620204684 -0.0194132663861106 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 9.18349500843498e-17 9.19884910679339e-12 0.0460015783962957 0.825895779195496
"Rv0064A" 7.54318235416267e-05 -0.000217064878749315 0.000552582329998136 -0.000151576624375828 1.25205813715008 1.36597561874082 -0.0698019805420214 -0.00806786984961234 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 1.65978014711629e-10 1.33795167089804e-08 0.74737110307729 0.967742377084416
"Rv0065" -2.12210797672003e-05 0.000146599447733097 -7.32747071966147e-05 -5.55810172013257e-06 0.672295795890962 1.07245749099932 0.153609702655411 -0.0122886558174182 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 2.94426310607298e-05 1.67842128810006e-08 0.390008190119823 0.928482166544197
"Rv0066c" 3.31702952064495e-05 -1.2761542023895e-05 3.79052209865963e-05 -0.000342406702859755 0.0600666592108146 -0.913788261247263 -0.690611462883124 -0.00257089630118425 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.72576875250346 4.6718927092677e-09 1.9416769353071e-06 0.993657187978439
"Rv0067c" -6.2653061963889e-05 -7.53803108358557e-05 0.00105812532780396 -0.000294333407046725 -0.240269413415665 -0.646315658338668 -0.351918081720802 0.0105083087503595 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.100284389322727 0.00626969009938988 0.0499551495379605 0.942030525123758
"Rv0068" -0.000189468663258727 -0.000120012183977907 0.00054549232453794 -0.00047474698888135 0.0658709542372951 -0.288824391504383 0.122560549405843 -0.00182929962609951 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.703015009110665 0.273627837196092 0.501859904805672 0.99375102884922
"Rv0069c" 0.000285391955895925 0.000244360022104003 -8.13056967954534e-06 -0.0014056812798456 0.0855937921550617 -0.278683649915408 0.00989171906438993 -0.00695433704613796 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.477935058572753 0.100578222485679 0.939081661970696 0.946139306557062
"Rv0070c" -0.00029651897776246 -0.000397678458875692 -5.53477515564282e-05 -0.00031183201963728 -0.335428771707355 -0.475797084250167 -0.245886773083824 -0.00317456658073809 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.00293687278067863 0.00377863670352127 0.0261544092638451 0.990751463179821
