"Iron_effect_in_EXP_G_D.BH" "Iron_effect_in_EXP_G.BH" "Iron_effect_in_EXP_G_L.BH" "Iron_effect_in_EXP_L.BH" "Iron_effect_in_STAT_G_D.BH" "Iron_effect_in_STAT_G.BH" "Iron_effect_in_STAT_G_L.BH" "Iron_effect_in_STAT_L.BH" "Phase_effects_with_Fe_G_D.BH" "Phase_effects_with_Fe_G.BH" "Phase_effects_with_Fe_G_L.BH" "Phase_effects_with_Fe_L.BH" "Phase_effects_without_Fe_G_D.BH" "Phase_effects_without_Fe_G.BH" "Phase_effects_without_Fe_G_L.BH" "Phase_effects_without_Fe_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_D.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G.BH" "Effect_of_Fe_in_response_to_Growth_arrest_G_L.BH" "Effect_of_Fe_in_response_to_Growth_arrest_L.BH"
"Rv0054" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.0475472327579874 0.330216896600055 8.06577025609896e-43 0.99375102884922 0.000355846853885908 0.948086016871745 0.264318509384776 9.88914713104578e-16 0.403861653568626 0.821253952071803 7.24856614869065e-55 1.29307855909871e-11 0.122047939708482 0.942396429313189 6.46095796255775e-23 0.998498138481726
"Rv0055" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.524002878653703 0.57306085970255 1.34457614379466e-48 0.961792773382745 0.00172098418596821 1.33830091700657e-05 4.10555305707945e-08 4.94678725993785e-11 0.126219166831306 1.84806447757974e-05 4.62285884437118e-32 1.65018940318657e-14 0.438968603241132 0.822342922058037 1.10398825157181e-32 0.998498138481726
"Rv0056" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.491968761336437 0.96955781310365 1.17475500768297e-49 0.96587522253443 0.148843023981481 7.53523897863755e-15 1.81897198519771e-10 5.48244335250901e-20 0.306960227449533 3.6505530806323e-10 3.40169868756243e-21 5.24351039036664e-18 0.862454723216818 0.644002271443358 4.33165302009641e-28 0.998498138481726
"Rv0057" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.246293151772239 0.970058048109387 1.58589390271773e-55 0.99375102884922 1.21672612292155e-31 3.80053283785931e-25 2.66475293760443e-16 4.5479657947824e-08 3.64395582202864e-38 3.84783051077009e-19 3.82847237488825e-14 3.98445787339529e-07 0.398688950603716 0.885338689691031 4.40777061717518e-28 0.998498138481726
"Rv0058" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.109074040932037 9.3307682460255e-05 1.46858790066083e-22 0.671044094346448 1.82961301254114e-27 3.54793831234906e-28 4.47362346389842e-27 0.299898353075863 6.75063047323711e-18 5.28959938205121e-11 0.355837107939429 0.0218609654855661 0.2196918243487 0.00631904101621727 2.28827148600367e-11 0.998498138481726
"Rv0059" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.488998513518366 0.0104197179279603 6.23515255597288e-05 0.722401217211777 2.98125041993946e-26 5.20108697865721e-19 1.78666433511617e-18 0.00471973127072212 2.67628521579696e-20 1.44356627089025e-10 6.62248199206398e-07 0.000924574685281791 0.511031227564281 0.117975068517784 0.0140743074434751 0.998498138481726
"Rv0060" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 4.35805185501231e-08 8.74239592402161e-06 5.13519966613396e-18 0.898325395485313 1.35855575905644e-10 0.0013284642242553 0.095040215595776 0.00945423616783703 0.546666861143291 0.321113684989989 1.88561164882234e-22 0.136589802802509 0.00028197840194686 0.00850065144085544 1.16118224533922e-07 0.998498138481726
"Rv0061c" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.933411990476818 0.00236446119673013 0.486578112257705 0.959385643934073 6.29229002830599e-36 0.00609809204421834 0.465393135579097 5.99332360223382e-52 9.8348329825291e-42 0.941434217971296 0.0431728706347592 5.22856456370104e-46 0.624497695667977 0.134333155120942 0.479622325928172 0.998498138481726
"Rv0062" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 2.94426310607298e-05 0.20882462457738 0.497088777969996 0.730317316439121 0.236178194382361 9.98693324177443e-17 3.07932659330159e-61 0.000816838092467613 0.00150099913929093 5.6939584765193e-08 5.24305911613882e-52 6.35683217730687e-08 0.00629551362593302 0.131012047634699 0.51618291574963 0.814599672277712
"Rv0063" 0.999652421664065 0.99978373860597 0.999897569248579 0.998493520944799 0.105953950651982 0.366044130264682 0.0381839851388107 0.812150419080914 9.55121531220208e-15 2.20845109679627e-10 2.95493375999644e-61 0.313926764238139 5.60711523890004e-19 1.3264952073223e-05 2.40793287977321e-69 0.198737477231273 0.501701592683512 0.367038988198566 0.392993816800842 0.998498138481726
